"300mm";"200mm";"100mm"
0.00;0.00;0.00
0.00;0.00;0.00
0.00;0.00;0.00
0.00;0.00;0.00
0.00;0.00;0.00
0.00;0.00;0.00
0.00;0.00;0.00
0.11;0.00;0.00
0.30;0.00;0.00
0.41;0.19;0.00
0.76;0.22;0.15
1.25;0.38;0.19
1.63;0.60;0.22
2.01;0.79;0.30
2.20;0.98;0.30
2.62;1.10;0.38
2.88;1.33;0.41
3.30;1.44;0.49
3.64;1.67;0.53
4.14;1.86;0.60
4.63;2.12;0.68
5.09;2.39;0.76
5.70;2.62;0.83
6.19;2.96;0.91
6.80;3.19;0.98
7.37;3.53;1.06
8.13;3.80;1.17
8.62;4.18;1.25
9.42;4.48;1.36
10.07;4.90;1.48
11.17;5.24;1.63
12.27;5.81;1.78
13.03;6.34;1.90
14.25;6.76;2.09
14.89;7.37;2.16
15.77;7.67;2.31
16.49;8.17;2.39
17.48;8.51;2.54
18.20;9.08;2.66
19.30;9.38;2.81
20.7;9.99;3.00
21.5;10.56;3.07
22.8;10.98;3.26
23.7;11.55;3.38
25.0;12.04;3.57
25.9;12.65;3.72
27.3;13.18;3.91
28.1;13.87;4.06
29.8;14.36;4.29
31.5;15.04;4.52
32.5;15.92;4.67
33.4;16.49;4.78
35.2;16.94;5.05
37.0;17.86;5.35
38.2;18.77;5.51
39.9;19.41;5.77
41.3;20.6;5.96
43.3;21.3;6.27
44.7;22.3;6.46
46.7;23.1;6.76
49.0;24.2;7.10
50.2;25.3;7.29
52.6;26.1;7.60
54.0;27.1;7.82
56.5;28.0;8.17
58.0;29.2;8.39
60.3;30.0;8.74
61.8;31.4;9.00
64.3;32.1;9.31
65.8;33.4;9.57
68.4;34.2;9.91
70.7;35.5;10.29
72.5;36.8;10.56
74.9;37.7;10.98
76.7;39.2;11.17
79.5;40.0;11.62
81.3;41.5;11.89
84.1;42.4;12.27
86.1;43.9;12.61
89.0;45.3;13.03
91.0;47.4;13.30
93.7;49.0;13.71
96.9;50.6;14.21
98.8;51.7;14.47
101.8;53.3;14.97
104.0;54.5;15.27
107.3;56.3;15.80
109.3;57.5;16.11
111.7;59.2;16.64
114.2;60.6;17.02
116.1;62.5;17.55
118.7;64.2;18.08
121.2;65.5;18.46
124.5;67.5;18.96
125.3;68.7;19.34
128.9;70.6;19.87
131.3;71.9;20.6
133.8;73.8;21.1
136.0;75.1;21.5
138.7;76.7;21.9
